hydroxyzine
word,frequency,total_distance,average_distance
.,3,13,4.333333333333333
number,1,10,10.0
topical,1,8,8.0
creams,1,7,7.0
for,1,6,6.0
her,1,5,5.0
rash,1,4,4.0
2,1,2,2.0
25,1,1,1.0
mg,1,2,2.0
mgs,1,3,3.0
m,1,4,4.0
4,1,5,5.0
times,1,6,6.0
day,1,8,8.0
,0,0,



mg
word,frequency,total_distance,average_distance
.,532,2317,4.355263157894737
day,187,825,4.411764705882353
mg,132,1056,8.0
daily,67,333,4.970149253731344
5,55,231,4.2
20,45,177,3.933333333333333
3,44,242,5.5
4,44,220,5.0
150,33,198,6.0
40,33,121,3.6666666666666665
units,33,286,8.666666666666666
valsartan,33,187,5.666666666666667
80,33,176,5.333333333333333
zantac,33,209,6.333333333333333
times,33,154,4.666666666666667
mgs,33,187,5.666666666666667
75,33,264,8.0
fluoxetine,23,90,3.9130434782608696
10,23,89,3.869565217391304
500,22,88,4.0
week,22,99,4.5
9,22,99,4.5
lasix,22,88,4.0
17,22,88,4.0
calcium,22,88,4.0
81,22,110,5.0
aspirin,22,132,6.0
insulin,22,176,8.0
14,22,77,3.5
zocor,22,132,6.0
13,22,88,4.0
plavix,22,176,8.0
amlodipine,22,77,3.5
35,22,121,5.5
once,22,99,4.5
carbonate,22,88,4.0
m,22,132,6.0
claritin,22,132,6.0
cc,22,187,8.5
1.2,22,187,8.5
sulfate,22,187,8.5
800,22,187,8.5
international,22,187,8.5
for,12,96,8.0
rash,11,66,6.0
hydroxyzine,11,22,2.0
2,11,44,4.0
16,11,44,4.0
actonel,11,22,2.0
her,11,77,7.0



25
word,frequency,total_distance,average_distance
.,9,42,4.666666666666667
topical,3,27,9.0
creams,3,24,8.0
for,3,21,7.0
her,3,18,6.0
rash,3,15,5.0
2,3,9,3.0
hydroxyzine,3,3,1.0
mg,3,3,1.0
mgs,3,6,2.0
m,3,9,3.0
4,3,12,4.0
times,3,15,5.0
day,3,21,7.0
3,3,27,9.0
,0,0,



mgs
word,frequency,total_distance,average_distance
.,16,80,5.0
day,6,26,4.333333333333333
mg,6,34,5.666666666666667
times,2,6,3.0
aspirin,2,12,6.0
16,2,8,4.0
75,2,2,1.0
plavix,2,4,2.0
15,2,8,4.0
5,2,18,9.0
amlodipine,2,20,10.0
claritin,2,18,9.0
3,2,14,7.0
81,2,14,7.0
creams,2,20,10.0
4,2,4,2.0
m,2,2,1.0
25,2,4,2.0
hydroxyzine,2,6,3.0
2,2,10,5.0
rash,2,14,7.0
her,2,16,8.0
for,2,18,9.0
,0,0,



m
word,frequency,total_distance,average_distance
.,4,24,6.0
for,1,10,10.0
her,1,9,9.0
rash,1,8,8.0
2,1,6,6.0
hydroxyzine,1,4,4.0
25,1,3,3.0
mg,1,2,2.0
mgs,1,1,1.0
4,1,1,1.0
times,1,2,2.0
day,1,4,4.0
3,1,6,6.0
claritin,1,8,8.0
5,1,9,9.0
,0,0,



claritin
word,frequency,total_distance,average_distance
.,4,16,4.0
mg,2,12,6.0
4,2,13,6.5
day,2,8,4.0
mgs,1,9,9.0
m,1,8,8.0
times,1,6,6.0
3,1,2,2.0
5,1,1,1.0
fluoxetine,1,8,8.0
20,1,9,9.0
,0,0,



5
word,frequency,total_distance,average_distance
.,48,238,4.958333333333333
day,12,60,5.0
mg,10,42,4.2
4,8,50,6.25
3,4,24,6.0
20,4,26,6.5
fluoxetine,4,26,6.5
6,4,26,6.5
mgs,4,38,9.5
valsartan,2,16,8.0
units,2,10,5.0
13,2,20,10.0
80,2,14,7.0
800,2,6,3.0
daily,2,10,5.0
14,2,6,3.0
amlodipine,2,2,1.0
15,2,10,5.0
plavix,2,14,7.0
international,2,8,4.0
75,2,16,8.0
